epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6761,0.74999,3.92121,1.16514,0.04887,1,0.27554,0.24113,0.47366,3.25504,0.92978,0.0001578,0.0001578,0.0001578
2,21.538,0.62477,2.85719,1.02433,0.91786,0.3227,0.65151,0.57221,0.55668,2.26522,0.96587,0.000317683,0.000317683,0.000317683
3,29.8534,0.61148,2.04859,1.00407,0.74435,0.68147,0.87369,0.78848,0.46536,1.63655,0.91652,0.000474338,0.000474338,0.000474338
4,38.3399,0.57752,1.59746,0.97866,0.89991,0.9234,0.9697,0.85929,0.49511,0.88847,0.92067,0.000510378,0.000510378,0.000510378
5,46.912,0.56377,1.33931,0.96577,0.89066,0.94005,0.98908,0.89778,0.4431,0.72527,0.89301,0.00050517,0.00050517,0.00050517
6,55.3114,0.54694,1.17371,0.93662,0.91895,0.98517,0.98429,0.88448,0.47642,0.68408,0.90497,0.000499963,0.000499963,0.000499963
7,63.43,0.53318,1.11266,0.93577,0.90935,0.98004,0.9805,0.88978,0.47617,0.73326,0.90484,0.000494756,0.000494756,0.000494756
8,71.7218,0.53457,1.04038,0.94284,0.97031,0.97509,0.98185,0.88558,0.46834,0.50991,0.88974,0.000489548,0.000489548,0.000489548
9,80.0061,0.54824,0.94209,0.94096,0.97311,0.97761,0.98251,0.90162,0.42615,0.47516,0.87958,0.000484341,0.000484341,0.000484341
10,87.9089,0.524,0.90255,0.91576,0.96829,0.9833,0.9833,0.90425,0.42944,0.51158,0.88007,0.000479133,0.000479133,0.000479133
11,95.834,0.51995,0.88152,0.92861,0.96417,0.98121,0.98232,0.8855,0.46129,0.52209,0.89382,0.000473926,0.000473926,0.000473926
12,104.53,0.52819,0.84735,0.92039,0.97743,0.98543,0.98547,0.89748,0.44149,0.48805,0.88745,0.000468719,0.000468719,0.000468719
13,113.326,0.5252,0.80544,0.93251,0.97934,0.98067,0.9886,0.89703,0.46062,0.43337,0.89361,0.000463511,0.000463511,0.000463511
14,122.587,0.50762,0.76636,0.9243,0.96668,0.98396,0.98859,0.89714,0.46586,0.49752,0.90508,0.000458304,0.000458304,0.000458304
15,131.49,0.51949,0.76652,0.93134,0.96416,0.98328,0.98745,0.88355,0.48018,0.43919,0.90126,0.000453096,0.000453096,0.000453096
